source,target,interaction
n1,n0,measures
n10,n0,supports
n10,n1,facilitates
n10,n4,facilitates
n10,n4,hinders
n10,n5,facilitates
n10,n5,hinders
n11,n10,includes
n11,n13,includes
n11,n16,includes
n11,n17,includes
n11,n18,includes
n11,n19,includes
n11,n20,includes
n11,n9,includes
n12,n13,employs
n12,n16,employs
n12,n17,employs
n12,n19,employs
n12,n25,employs
n12,n9,employs
n13,n0,supports
n13,n1,facilitates
n13,n6,facilitates
n14,n22,includes
n14,n23,includes
n14,n24,includes
n14,n25,includes
n14,n26,includes
n14,n27,includes
n15,n28,includes
n15,n29,includes
n15,n30,includes
n15,n31,includes
n16,n0,supports
n16,n1,facilitates
n16,n4,facilitates
n16,n4,hinders
n16,n5,facilitates
n16,n5,hinders
n16,n6,facilitates
n16,n6,hinders
n17,n0,supports
n17,n1,facilitates
n17,n1,hinders
n17,n2,facilitates
n17,n6,facilitates
n18,n0,supports
n18,n1,facilitates
n18,n2,facilitates
n18,n4,facilitates
n18,n4,hinders
n18,n5,facilitates
n18,n5,hinders
n18,n6,facilitates
n18,n6,hinders
n19,n0,supports
n19,n1,facilitates
n2,n0,measures
n20,n0,supports
n20,n1,facilitates
n20,n6,hinders
n21,n20,employs
n21,n9,employs
n22,n0,supports
n22,n4,facilitates
n22,n5,facilitates
n22,n6,facilitates
n23,n0,supports
n23,n5,facilitates
n23,n6,facilitates
n24,n0,supports
n24,n4,facilitates
n24,n5,facilitates
n24,n6,facilitates
n25,n0,supports
n25,n5,facilitates
n25,n6,facilitates
n26,n0,supports
n26,n6,facilitates
n27,n0,supports
n27,n4,facilitates
n28,n0,supports
n28,n3,facilitates
n28,n7,facilitates
n29,n0,supports
n29,n3,facilitates
n29,n8,facilitates
n3,n0,measures
n30,n0,supports
n30,n3,facilitates
n30,n8,facilitates
n31,n0,supports
n31,n8,facilitates
n32,n10,employs
n32,n13,employs
n32,n16,employs
n32,n20,employs
n32,n30,employs
n32,n9,employs
n33,n10,employs
n33,n13,employs
n33,n9,employs
n34,n10,employs
n34,n13,employs
n34,n16,employs
n34,n19,employs
n34,n9,employs
n35,n13,employs
n35,n24,employs
n35,n29,employs
n35,n9,employs
n36,n10,employs
n36,n13,employs
n36,n19,employs
n36,n9,employs
n37,n13,employs
n37,n16,employs
n37,n20,employs
n37,n22,employs
n37,n9,employs
n38,n13,employs
n38,n16,employs
n38,n17,employs
n38,n20,employs
n38,n27,employs
n38,n9,employs
n39,n20,employs
n39,n28,employs
n39,n29,employs
n39,n30,employs
n39,n31,employs
n4,n0,measures
n40,n20,employs
n40,n26,employs
n40,n28,employs
n40,n29,employs
n40,n30,employs
n40,n31,employs
n41,n20,employs
n41,n28,employs
n41,n29,employs
n41,n30,employs
n41,n31,employs
n42,n10,employs
n42,n13,employs
n5,n0,measures
n6,n0,measures
n7,n0,measures
n8,n0,measures
n9,n0,supports
n9,n1,facilitates
n9,n2,facilitates
n9,n4,facilitates
n9,n4,hinders
n9,n5,facilitates
n9,n5,hinders
n9,n6,facilitates